date,wk,source,problem,pattern,state,attempt_minutes,solved_unaided,we,notes
2026-08-18,WK01,leetcode-sql-50,1757 recyclable-and-low-fat-products,filter with AND,solved,3,n,0,right shape first try but submitted recyclable = 'N'; careless read of the condition
2026-08-18,WK01,leetcode-sql-50,584 find-customer-referee,NULL comparison,solved,14,n,0,3 hints; filtered id instead of referee_id twice; then guessed != NULL and = NULL four times; looked up IS NULL
2026-08-18,WK01,leetcode-sql-50,595 big-countries,OR filter,solved,4,y,0,clean first submit
2026-08-18,WK01,leetcode-sql-50,1148 article-views-i,output shape: distinct + alias + sort,solved,18,n,0,3 hints; SELECT * then wrong columns; used GROUP BY to sort; ORDER BY 'id' quoted as a string; looked up DISTINCT and AS
2026-08-18,WK01,leetcode-sql-50,1683 invalid-tweets,scalar string function,solved,7,n,0,2 hints; guessed content CHAR and content VARCHAR instead of looking up the function; looked up CHAR_LENGTH
2026-08-20,WK01,leetcode-sql-50,1378 replace-employee-id-with-the-unique-identifier,left join,solved,10,n,0,"3 attempts, zero hints; looked up LEFT JOIN grammar only, not the answer; both errors were column choice, not join mechanics; on the comprehension check thought join type changes columns rather than rows"
2026-08-20,WK01,leetcode-sql-50,1068 product-sales-analysis-i,join direction,solved,6,n,0,"2 attempts, zero hints; first attempt was a deliberate diagnostic run; fixed by swapping which table is in FROM, not by changing join type"
2026-08-24,WK02,leetcode-sql-50,1581 customer-who-visited-but-did-not-make-any-transactions,anti-join,solved,21,n,0,CARRIED unsolved; 3 hints (first one premature at min 9); wrong join key then amount = 0 instead of IS NULL; reached the anti-join filter but not the grouping
2026-08-24,WK02,leetcode-sql-50,577 employee-bonus,anti-join without aggregation,solved,8,n,0,one free syntax answer (comma instead of = in ON); ACCEPTED with bonus <= 1000 though spec says less than 1000; no test data on the boundary so the judge missed it; fixed to < after
2026-08-24,WK02,leetcode-sql-50,197 rising-temperature,self-join on consecutive dates,solved,35,n,1,"SHOWN 2026-08-24 at 35 min with 3 hints; RE-DERIVED 2026-08-27 in 14 min and flipped to solved. Decision logged 2026-08-27: the worked-example rule is extended to the row-to-row self-join pattern, because the rule was ratified 2026-08-26 and this problem was attempted cold on 2026-08-24, making it the one Block 1 pattern that hit before its scaffold existed. CLAUDE.md exactly-three-patterns clause still needs amending to record this. Rep was NOT clean: coach gave a 4-of-5-line frame with only the ON clause blank, so this shows transfer by substitution, not cold production. The cold test is the self-join card due 2026-08-28. Leak at 19:36: the Claude Code input box inline suggestion auto-proposed `SELECT a.id FROM Weather a JOIN Weather b ON` unprompted, handing over the two-alias structure but stopping before the ON clause under test; suggestion feature to be disabled. Flipped to solved rather than left shown so the collision rule stops deferring the card every session. Two cards written at the moment of error: JOIN grammar, and the DuckDB-only bare-integer date arithmetic that passed LeetCode Run and failed Submit."
2026-08-27,WK02,leetcode-sql-50,1211 queries-quality-and-percentage,conditional aggregation,shown,50,n,1,"SHOWN 2026-08-27, re-derivation owed at start of next session. we=1 but the worked example FAILED TO RUN: it was delivered as text at 21:08, the drill session had just closed its DuckDB tab, Connor said at 21:11 that he could not run it, and the coach moved on to reloading the problem instead of re-running the scaffold. So a first-encounter conditional aggregation problem was attempted effectively cold - the identical failure this same session had just diagnosed and repaired on 197. Roughly 50 min of attempts followed, all of them circling the same gap: no way to turn a boolean into a number, because CASE WHEN had never been executed or explained. Everything except that one expression was produced unaided, including ROUND(AVG(rating / position), 2) which was correct to the digit, the aggregate-over-aggregate ratio shape, and the times-100 scaling. 3 hints used. Coach error, not a skill gap. AMENDMENT OWED to CLAUDE.md: the worked-example rule must require the example to be RUN in a live DuckDB session, not merely delivered; satisfied-on-paper is how this happened. Query body deliberately NOT saved to problems/007 - it has not been run by Connor nor submitted to LeetCode, and writing it would inflate the Committed count with a query that never passed either oracle."
